id,name,alias,type,x,y,height
61801,IN-3003,,node other,4162238.629416,3194663.781616,0
61802,IN-3004,,node other,4154700.000042642,3187100.0000327104,0
61803,GS-3211,DSO_2658,node other,4166242.53552,3197874.389069,0
61804,IN-3005,,node other,4153655.496671,3177584.610739,0
61805,IN-3330,,node other,4153654.031917,3177555.044948,0
61806,IN-3164,,node other,4153589.42822,3177547.391759,0
61807,IN-3008,,node other,4172475.441157,3205140.123851,0
61808,IN-3331,,node other,4153647.842673,3177487.337616,0
61809,IN-3335,,node other,4153585.010767,3177497.6615,0
61810,GS-2886,DSO_2659,node other,4184905.234345,3220164.794176,0
61811,IN-3006,,node other,4184550.622258,3219823.15497,0
61812,GS-0845,DSO_2660,node other,4185627.915542,3222234.220862,0
61813,GS-3102,DSO_2665,node other,4185681.691447,3222427.009537,0
61814,IN-3007,,node other,4178199.453442,3212962.244135,0
61815,GS-2590,DSO_2663,node other,4189342.98717,3227929.201672,0
61816,IN-3009,,node other,4189509.753392,3228266.869756,0
61817,GS-3101,DSO_2664,node other,4189032.369,3226689.9108,0
61818,GS-3193,DSO_2661,node other,4190777.17652,3234105.085684,0
61819,IN-2975,,node other,4112271.349113,3207412.981856,0
61820,IN-2974,,node other,4112507.650196,3205028.908124,0
61821,IN-2978,,node other,4116279.358661,3232425.372039,0
61822,IN-3169,,node other,4116190.274549,3232535.06775,0
61823,IN-2976,,node other,4111001.471226,3195164.036383,0
61824,IN-3168,,node other,4115960.562119,3232533.940071,0
61825,IN-3340,,node other,4115892.194576,3232420.475869,0
61826,IN-3167,,node other,4115792.123385,3232479.508603,0
61827,IN-3441,,node other,4119638.335208,3078113.887328,0
61828,IN-3482,,node other,4119650.251863,3078115.426209,0
61829,GS-2591,DSO_2662,node other,4190794.217986,3234290.646621,0
61830,IN-3439,,node other,4119638.726349,3078114.8741,0
61831,IN-3015,,node other,4137701.062723,3192983.862959,0
61832,IN-3440,,node other,4119639.70432,3078114.613245,0
61833,IN-3484,,node other,4119628.143034,3078109.497697,0
61834,IN-3034,,node other,4166876.366863,3319843.554691,0
61835,IN-3023,,node other,4169864.734228,3329186.631582,0
61836,GS-0560,blending_0010,node other,4153440.919724,3177446.780385,0
61837,IN-3334,,node other,4153498.244472,3177497.759116,0
61838,IN-3075,,node other,4173733.201854,3339135.522062,0
61839,IN-3033,BIO_0113,node other,4162542.747906,3310986.651164,0
61840,IN-3022,,node other,4170102.19027,3329830.840147,0
61841,IN-3024,,node other,4173729.484121,3339125.614175,0
61842,IN-3031,GPR_0032,node other,4150867.73556,3294976.058893,0
61843,IN-3032,,node other,4156523.311824,3303203.123423,0
61844,IN-3021,,node other,4064974.497009,3186846.174885,0
61845,GS-1459,DSO_2655,node other,4064938.92513,3186834.836271,0
61846,IN-3442,,node other,4124899.83712,3077377.441758,0
61847,IN-2995,,node other,4145394.479303,3052071.513719,0
61848,IN-2994,,node other,4138524.168298,3058368.107375,0
61849,IN-3166,,node other,4112389.774223,3207485.121441,0
61850,IN-3001,,node other,4101821.657826,3213761.052873,0
61851,IN-3000,,node other,4112261.042002,3207603.088001,0
61852,IN-2999,,node other,4110183.955011,3210013.483647,0
61853,IN-3002,,node other,4160094.324501,3193158.908787,0
61854,IN-3339,,node other,4112313.537905,3207482.282932,0
61855,GS-2453,DSO_2677,node other,4115001.216063,3111615.913192,0
61856,GS-2797,DSO_2676,node other,4115272.419816,3111163.943288,0
61857,GS-2803,DSO_2680,node other,4116207.565679,3108988.302464,0
61858,GS-2795,DSO_2679,node other,4114148.614408,3112603.251727,0
61859,IN-3219,,node other,4173739.143293,3339126.211999,0
61860,GS-2526,DSO_2672,node other,4106585.419239,3125106.386896,0
61861,IN-2943,,node other,4106777.55081,3124303.959824,0
61862,GS-3209,DSO_2683,node other,4253371.49215,3253351.782441,0
61863,IN-3265,,node other,4109111.104924,3165783.433263,0
61864,GS-2383,DSO_2681,node other,4116614.22806,3104800.923129,0
61865,IN-2940,,node other,4116618.113795,3102957.175097,0
61866,IN-3240,,node other,4116604.798499,3102942.005608,0
61867,IN-3363,,node other,4241341.40265,3277346.666287,0
61868,IN-2925,,node other,4102134.407512,3158964.399752,0
61869,IN-2922,,node other,4102147.937379,3158417.507878,0
61870,IN-3102,,node other,4109034.194651,3165345.17834,0
61871,GS-2522,DSO_2684,node other,4109192.999624,3166730.895668,0
61872,IN-2944,,node other,4112465.43515,3175546.968999,0
61873,IN-3506,,node other,4099652.646327,3156758.33707,0
61874,IN-3586,,node other,4102680.258286,3158210.429669,0
61875,IN-3610,,node other,4102742.234729,3158083.796437,0
61876,IN-3527,,node other,4097727.333643,3157110.79353,0
61877,IN-2923,,node other,4102355.752715,3157954.336532,0
61878,IN-3098,,node other,4102356.401089,3157954.865433,0
61879,IN-3097,,node other,4102356.566139,3157953.855915,0
61880,IN-3272,,node other,4112139.453773,3082680.105223,0
61881,IN-2981,,node other,4137420.485213,3239704.625319,0
61882,IN-2980,,node other,4136246.692986,3236837.055438,0
61883,IN-2979,,node other,4118355.713657,3231884.247358,0
61884,IN-2982,,node other,4127526.37015,3233918.972393,0
61885,IN-3175,,node other,4198552.066685,3330363.790603,0
61886,IN-3125,,node other,4116617.159542,3102941.958444,0
61887,GS-3108,DSO_2666,node other,4118053.137704,3080615.696122,0
61888,IN-2985,,node other,4117970.156305,3080835.186652,0
61889,IN-3177,,node other,4198540.593099,3330429.536196,0
61890,IN-2957,,node other,4198344.604165,3330419.332045,0
61891,IN-3176,,node other,4198388.345485,3330470.328235,0
61892,IN-2964,,node other,4164687.963927,3340035.329468,0
61893,IN-2961,,node other,4164045.803703,3340133.209639,0
61894,IN-2963,,node other,4173733.496645,3339136.403845,0
61895,IN-2958,,node other,4180246.088899,3335619.607966,0
61896,IN-3050,,node other,4176821.750745,3336917.412916,0
61897,IN-2966,,node other,4135129.993575,3347325.976241,0
61898,IN-2967,,node other,4137849.639921,3347860.392675,0
61899,IN-2965,,node other,4136032.815158,3347744.29027,0
61900,GS-3179,DSO_2669,node other,4315504.704531,3251218.559612,0
61901,IN-2898,,node other,4156416.086862,3151441.756678,0
61902,IN-2877,GPR_0034,node other,4247320.151991,3322213.30981,0
61903,GS-4180,DSO_2712,node other,4249037.655609,3322818.476065,0
61904,GS-4181,DSO_2714,node other,4246497.401892,3322305.720446,0
61905,GS-4178,DSO_2713,node other,4239871.785455,3324147.143806,0
61906,IN-3305,,node other,4173026.599994,3086148.577886,0
