node_type,avg_importance_score,norm_avg_importance_score
BIO,0.006130432351809725,1.0
GPR,0.004714072420799988,0.7689624728357662
CV,0.0030185123268498502,0.49238163862272694
LNG,0.0019012582159023334,0.3101344418784876
CS,0.001445074123260142,0.23572140435307978
IC,0.0010673207052359398,0.17410202804388877
TPP,0.0004938674535417854,0.08055997117332092
X,0.00037784034811655875,0.06163355640080082
DSO,0.0002517673866633107,0.041068455243452456
ST,0.00010913750065904734,0.017802578088449105
IND,9.50462686592124e-05,0.015504007418196925
