,greedy_modularity,louvain,k_means,gnn,k2_cores,path_contraction,path_contraction_2,importance_removal
nodes_score,0.9130261585446819,0.9144867879431682,0.897490373124419,0.897490373124419,0.321205683176205,0.6182445890320011,0.8305669897755942,0.47271278714646126
edges_score,0.873957476800188,0.8752496182309409,0.8387172559614707,0.7541407259485493,0.27769294020909197,0.5626688593915188,0.7549629977681194,0.4146599318689064
pre_cyclo,983.0,983.0,983.0,983.0,983.0,983.0,983.0,983.0
post_cyclo,419.0,419.0,602.0,1322.0,1038.0,849.0,811.0,1013.0
cyclomatic_score,0.5737538148524923,0.5737538148524923,0.387589013224822,0.0,0.0,0.13631739572736523,0.17497456765005082,0.0
complexity_score,0.7869124833991208,0.7878300736755337,0.7079322141035705,0.5505436996909895,0.19963287446176567,0.439076948050295,0.5868348517312548,0.2957909063384559
pdiv_score,0.08833779653707086,0.09331933431645645,0.2410230710085992,0.02981673471655888,0.7807877089196011,0.6173053946187852,0.4855824660408177,0.31742188232664925
emd_score,0.6100308088495932,0.7436017092852906,0.8034890838647766,0.9091599994282068,0.96176557350605,0.96176557350605,0.96176557350605,0.96176557350605
spectral_dist_score,0.3700968679847423,0.3702418591744702,0.37557010759813353,0.375256557336835,0.8678365024078368,0.7610532120815112,0.748235084473,0.7580731241371154
structure_score,0.35615515779046875,0.4023876342587391,0.47336075415716977,0.4380777638272002,0.8701299282778293,0.7800413934021154,0.7318610413399559,0.6790868599899382
original_regions,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0
simplified_regions,128.0,123.0,217.0,175.0,288.0,298.0,206.0,320.0
regionality_score,0.375366568914956,0.36070381231671556,0.6363636363636364,0.5131964809384164,0.844574780058651,0.873900293255132,0.6041055718475073,0.9384164222873901
original_properties,354143.51704958564,354143.51704958564,354143.51704958564,354143.51704958564,354143.51704958564,354143.51704958564,354143.51704958564,354143.51704958564
simplified_properties,1079.9276876176957,1080.8352757266434,15399.681846195192,33334.34172348066,379396.63190046075,350257.28979397396,353324.0292514394,377272.7241623755
properties_score,0.003049406908856467,0.0030519696780876293,0.04348429691581501,0.09412664673687454,0.9286924265584134,0.9890264057690838,0.9976860008479796,0.9346897345305593
max_dev_error,0.0003332664542096508,0.0003332664542098348,0.0004666182677716469,0.0004666182677714629,0.3528375040875968,0.07687551112811726,0.016846864406661784,2.023866182197216e-15
flow_score,0.9996667335457904,0.9996667335457902,0.9995333817322284,0.9995333817322285,0.6471624959124032,0.9231244888718827,0.9831531355933382,0.999999999999998
final_score,0.5042300701118385,0.5107280446949732,0.572134856654484,0.5190955945851419,0.6980385010538126,0.8010339058697018,0.7807281202720072,0.7695967846292684
